protocol,model,endpoint,budget,N,k,actual_budget_fraction,defined_seeds,mean_L,display_percent_L,cell_text
iid997,gnn,terminal,50%,160,80,0.5,5,0.9992129852852958,99.92129852852958,99.9
iid997,gnn,J,10%,160,16,0.1,5,0.9806290863267056,98.06290863267057,98.1
iid997,gnn,J,25%,160,40,0.25,5,0.9940358281431715,99.40358281431715,99.4
iid997,gnn,J,50%,160,80,0.5,5,0.997984358009791,99.7984358009791,99.8
lcro_9_15,gnn,terminal,10%,264,26,0.09848484848484848,5,0.9947077014102442,99.47077014102442,99.5
lcro_9_15,gnn,terminal,25%,264,66,0.25,5,0.9987087974130253,99.87087974130253,99.9
lcro_9_15,gnn,terminal,50%,264,132,0.5,5,0.9955498740175969,99.55498740175969,99.6
lcro_9_15,gnn,J,10%,264,26,0.09848484848484848,5,0.9842303721275283,98.42303721275283,98.4
lcro_9_15,gnn,J,25%,264,66,0.25,5,0.996650242350307,99.6650242350307,99.7
lcro_9_15,gnn,J,50%,264,132,0.5,5,0.9986253979920899,99.86253979920899,99.9
loco_iso834,gnn,terminal,10%,158,15,0.0949367088607595,5,0.7318657796237198,73.18657796237198,73.2
loco_iso834,gnn,terminal,25%,158,39,0.2468354430379747,5,0.7541996192962411,75.41996192962411,75.4
loco_iso834,gnn,terminal,50%,158,79,0.5,5,0.7392166706423768,73.92166706423768,73.9
loco_iso834,gnn,J,10%,158,15,0.0949367088607595,5,0.6943394180350857,69.43394180350857,69.4
loco_iso834,gnn,J,25%,158,39,0.2468354430379747,5,0.7904692598493471,79.04692598493472,79
loco_iso834,gnn,J,50%,158,79,0.5,5,0.8345562044059628,83.45562044059628,83.5
loco_astm_e119,gnn,terminal,10%,95,9,0.09473684210526316,5,0.8107131195221143,81.07131195221143,81.1
loco_astm_e119,gnn,terminal,25%,95,23,0.24210526315789474,5,0.8145348166352033,81.45348166352034,81.5
loco_astm_e119,gnn,terminal,50%,95,47,0.49473684210526314,5,0.8708171757267202,87.08171757267202,87.1
loco_astm_e119,gnn,J,10%,95,9,0.09473684210526316,5,0.7665373983386238,76.65373983386237,76.7
