protocol,contrast,baseline,candidate,endpoint,budget,N,k,independent_seed_count,U_baseline_minus_candidate_defined_seeds,U_baseline_minus_candidate_mean,U_baseline_minus_candidate_sample_sd,U_baseline_minus_candidate_min,U_baseline_minus_candidate_max
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,103,25,5,5,-5.231622283659032e-05,0.00017910960240006605,-0.0003138200975953964,0.0001690795732040562
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,103,51,5,5,-7.610818529444341e-05,0.00014074534104879913,-0.0003224383138753506,2.398960097554914e-05
loco_plateau,mean_vs_sum,gnn,gnn_mean,terminal,10%,103,10,5,5,0.00040028475224971813,0.0007174853253586267,-0.0004006963223218904,0.0011208306998014457
loco_plateau,mean_vs_sum,gnn,gnn_mean,terminal,25%,103,25,5,5,-0.0005934215784072869,0.0007567688911164849,-0.001859950423240657,0.00017242923378944092
loco_plateau,mean_vs_sum,gnn,gnn_mean,terminal,50%,103,51,5,5,-2.7671923824384992e-05,6.18763027395208e-05,-0.00013835961912192496,0.0
loco_plateau,mean_vs_sum,gnn,gnn_mean,J,10%,103,10,5,5,0.00017101837104805951,0.0007422047142236156,-0.0005315627064556017,0.0009889476575578038
loco_plateau,mean_vs_sum,gnn,gnn_mean,J,25%,103,25,5,5,0.00010954388727747455,0.000452549893889955,-0.0006613647726674277,0.0004913811385631739
loco_plateau,mean_vs_sum,gnn,gnn_mean,J,50%,103,51,5,5,1.5033677804676682e-05,0.00014838435068142917,-0.00013359407437790738,0.00026180337067527315
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,113,11,5,5,0.00041202902793884,0.0016723246264140265,-0.0014107132499868308,0.002242743291638108
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,113,28,5,5,0.000721309440476553,0.0009705521355183234,-0.0008132351296288587,0.001835728862455907
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,113,56,5,5,-9.226463735103052e-05,0.00027256510735431294,-0.000498160719871521,0.0002509938286883451
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,113,11,5,5,-0.00037654172742004335,0.0015319581885514793,-0.0026292191366806272,0.0012474425475705875
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,113,28,5,5,0.0005617589751878982,0.0006719061307800809,-0.0005185112844975914,0.0011721914678456957
loco_decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,113,56,5,5,0.00032763112868586795,0.00018599973149682557,1.3538190562822905e-05,0.000510323322599926
loco_decay,mean_vs_sum,gnn,gnn_mean,terminal,10%,113,11,5,5,-0.0018224550919099247,0.0008532936698220615,-0.002933893014084199,-0.0005973638458685315
loco_decay,mean_vs_sum,gnn,gnn_mean,terminal,25%,113,28,5,5,-0.00024755453424794296,0.0014850225348641015,-0.0025642474314996194,0.0014174061694315482
loco_decay,mean_vs_sum,gnn,gnn_mean,terminal,50%,113,56,5,5,7.839575409889221e-05,0.00023911777322731297,-0.00010618194937705994,0.000498160719871521
loco_decay,mean_vs_sum,gnn,gnn_mean,J,10%,113,11,5,5,0.00048531806378649956,0.0014577767317237333,-0.0007685009672334653,0.0022187815640459796
loco_decay,mean_vs_sum,gnn,gnn_mean,J,25%,113,28,5,5,0.0002037691218512605,0.00035028378692381865,-5.7684911769773084e-05,0.0008115310332782455
loco_decay,mean_vs_sum,gnn,gnn_mean,J,50%,113,56,5,5,-0.00012297716302177574,0.00038760950053906714,-0.000810796472554387,9.795532872275414e-05
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,69,6,5,5,0.00010716735074917487,0.003178365753963661,-0.005009178072214127,0.0027725074129800005
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,69,17,5,5,0.0,0.0,0.0,0.0
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,69,34,5,5,0.0001711614868220135,0.0005464819833817753,-0.000526496592689954,0.0009240367833305702
