protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
iid997,global_stats,45,terminal,10%,160,16,True,0.037995707301888615,0.001724175177514553,0.001724175177514553,0.21248402920900844,0.9919509377222386,0.05093647167086601,15,1,1
iid997,global_stats,45,terminal,25%,160,40,True,0.04788473185617477,0.0019022095948457718,0.0019022095948457718,0.2025950046547223,0.9906981148773777,0.0556316003203392,39,1,1
iid997,global_stats,45,terminal,50%,160,80,True,0.05789034870686009,0.0001397778280079337,0.0001397778280079337,0.19258938780403695,0.9992747448080858,0.12585987150669098,79,1,1
iid997,global_stats,45,J,10%,160,16,True,0.3322329017480418,0.0016627585398964473,0.0016627585398964473,0.17816217728481815,0.9907534595673804,0.35323410363247,15,1,1
iid997,global_stats,45,J,25%,160,40,True,0.3485856493799656,0.002894012655597189,0.002894012655597189,0.16180942965289435,0.9824289485694132,0.35963464975357057,39,1,1
iid997,global_stats,45,J,50%,160,80,True,0.35869913446661184,0.0005265415506437443,0.0005265415506437443,0.15169594456624813,0.9965409739120973,0.3753681227564812,79,1,1
iid997,global_stats,46,terminal,10%,160,16,True,0.03799074963899329,0.0017192175146192312,0.0017192175146192312,0.21248898687190376,0.991974081853947,0.05094694346189499,15,1,1
iid997,global_stats,46,terminal,25%,160,40,True,0.04736086700577289,0.001378344744443892,0.001378344744443892,0.20311886950512417,0.9932598360838218,0.055560048669576645,39,1,1
iid997,global_stats,46,terminal,50%,160,80,True,0.05789034870686009,0.0001397778280079337,0.0001397778280079337,0.19258938780403695,0.9992747448080858,0.1229279488325119,79,1,1
iid997,global_stats,46,J,10%,160,16,True,0.33226178236182025,0.0016916391536748732,0.0016916391536748732,0.17813329667103972,0.990592855512965,0.35328814511497814,15,1,1
iid997,global_stats,46,J,25%,160,40,True,0.3485856493799656,0.002894012655597189,0.002894012655597189,0.16180942965289435,0.9824289485694132,0.3599312165441612,39,1,1
iid997,global_stats,46,J,50%,160,80,True,0.35876018753141886,0.0005875946154507705,0.0005875946154507705,0.1516348915014411,0.9961398960794823,0.3753850090006987,79,1,1
lcro_9_15,fire_only,42,terminal,10%,264,26,True,0.038362463056627244,0.004010472462600112,0.004010472462600112,0.28678275548942345,0.9862085080493629,0.05986561253666878,16,18,10
lcro_9_15,fire_only,42,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06897161900997162,65,1,1
lcro_9_15,fire_only,42,terminal,50%,264,132,True,0.09766825951983908,0.001589179528181009,0.001589179528181009,0.22747695902621162,0.9930623550987931,0.22199399769306183,113,24,19
lcro_9_15,fire_only,42,J,10%,264,26,True,0.3379916637799682,0.007277000336403661,0.007277000336403661,0.2171430228433841,0.9675741930987419,0.3663810537817577,25,18,1
lcro_9_15,fire_only,42,J,25%,264,66,True,0.3472239159401847,0.0019351403006691026,0.0019351403006691026,0.2079107706831676,0.9907782796834285,0.36862891310205065,43,24,23
lcro_9_15,fire_only,42,J,50%,264,132,True,0.3768928692013451,0.0009727997229488361,0.0009727997229488361,0.17824181742200718,0.9945718728837727,0.457042745128274,109,24,23
lcro_9_15,fire_only,43,terminal,10%,264,26,True,0.03816633878084712,0.0038143481868199852,0.0038143481868199852,0.2869788797652036,0.9868829538649048,0.05693873390555382,20,18,6
lcro_9_15,fire_only,43,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06347259879112244,65,1,1
lcro_9_15,fire_only,43,terminal,50%,264,132,True,0.09766825951983908,0.001589179528181009,0.001589179528181009,0.22747695902621162,0.9930623550987931,0.22013185918331146,113,24,19
lcro_9_15,fire_only,43,J,10%,264,26,True,0.3379916637799682,0.007277000336403661,0.007277000336403661,0.2171430228433841,0.9675741930987419,0.36380426967516544,25,18,1
lcro_9_15,fire_only,43,J,25%,264,66,True,0.34727463439542616,0.0019858587559105634,0.0019858587559105634,0.20786005222792614,0.9905365858853283,0.3657535403966904,44,24,22
lcro_9_15,fire_only,43,J,50%,264,132,True,0.3768033068047541,0.0008832373263578108,0.0008832373263578108,0.1783313798185982,0.9950716222793177,0.4557532810916503,111,24,21
lcro_9_15,fire_only,44,terminal,10%,264,26,True,0.03770067010663896,0.0033486795126118282,0.0033486795126118282,0.28744454843941175,0.9884843277259391,0.05647151172161102,16,18,10
lcro_9_15,fire_only,44,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06407461315393448,65,1,1
lcro_9_15,fire_only,44,terminal,50%,264,132,True,0.09766825951983908,0.001589179528181009,0.001589179528181009,0.22747695902621162,0.9930623550987931,0.22153863310813904,113,24,19
lcro_9_15,fire_only,44,J,10%,264,26,True,0.3379916637799682,0.007277000336403661,0.007277000336403661,0.2171430228433841,0.9675741930987419,0.3646981827293833,25,18,1
lcro_9_15,fire_only,44,J,25%,264,66,True,0.34727463439542616,0.0019858587559105634,0.0019858587559105634,0.20786005222792614,0.9905365858853283,0.366535658792903,44,24,22
lcro_9_15,fire_only,44,J,50%,264,132,True,0.37696465978189503,0.001044590303498738,0.001044590303498738,0.17817002684145727,0.994171288480036,0.45594226345419886,110,24,22
lcro_9_15,fire_only,45,terminal,10%,264,26,True,0.03750753836133159,0.0031555477673044577,0.0031555477673044577,0.28763768018471914,0.9891484826193234,0.0592668280005455,17,18,9
lcro_9_15,fire_only,45,terminal,25%,264,66,True,0.045727163200464216,0.00021351411035566703,0.00021351411035566703,0.2794180553455865,0.9992364449022295,0.06753847748041153,65,1,1
lcro_9_15,fire_only,45,terminal,50%,264,132,True,0.09766825951983908,0.001589179528181009,0.001589179528181009,0.22747695902621162,0.9930623550987931,0.21769267320632935,113,24,19
lcro_9_15,fire_only,45,J,10%,264,26,True,0.3379916637799682,0.007277000336403661,0.007277000336403661,0.2171430228433841,0.9675741930987419,0.36493814680725334,25,18,1
lcro_9_15,fire_only,45,J,25%,264,66,True,0.34727463439542616,0.0019858587559105634,0.0019858587559105634,0.20786005222792614,0.9905365858853283,0.36676711179316046,44,24,22
lcro_9_15,fire_only,45,J,50%,264,132,True,0.3768928692013451,0.0009727997229488361,0.0009727997229488361,0.17824181742200718,0.9945718728837727,0.45556294893225036,109,24,23
lcro_9_15,fire_only,46,terminal,10%,264,26,True,0.038115969250121944,0.0037639786560948116,0.0037639786560948116,0.28702924929592877,0.9870561681143558,0.056433212012052536,17,18,9
lcro_9_15,fire_only,46,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.06554708629846573,65,1,1
lcro_9_15,fire_only,46,terminal,50%,264,132,True,0.09766825951983908,0.001589179528181009,0.001589179528181009,0.22747695902621162,0.9930623550987931,0.21463383734226227,113,24,19
lcro_9_15,fire_only,46,J,10%,264,26,True,0.3379916637799682,0.007277000336403661,0.007277000336403661,0.2171430228433841,0.9675741930987419,0.36355980606749655,25,18,1
lcro_9_15,fire_only,46,J,25%,264,66,True,0.34727463439542616,0.0019858587559105634,0.0019858587559105634,0.20786005222792614,0.9905365858853283,0.3653758489216367,44,24,22
lcro_9_15,fire_only,46,J,50%,264,132,True,0.3768928692013451,0.0009727997229488361,0.0009727997229488361,0.17824181742200718,0.9945718728837727,0.4539369661360979,109,24,23
lcro_9_15,global_stats,42,terminal,10%,264,26,True,0.03848055732221557,0.00412856672818844,0.00412856672818844,0.28666466122383516,0.985802397266041,0.05318450927734375,25,1,1
lcro_9_15,global_stats,42,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.060321222990751266,65,1,1
lcro_9_15,global_stats,42,terminal,50%,264,132,True,0.09777328399517997,0.0016942040035218958,0.0016942040035218958,0.22737193455087074,0.9926038653542867,0.21616344153881073,131,1,1
lcro_9_15,global_stats,42,J,10%,264,26,True,0.3377562183117381,0.0070415548681735385,0.0070415548681735385,0.21737846831161423,0.9686233217143356,0.358225960098207,25,1,1
lcro_9_15,global_stats,42,J,25%,264,66,True,0.34850515949171196,0.0032163838521963584,0.0032163838521963584,0.20662952713164034,0.9846726398569468,0.36603202382102606,65,1,1
lcro_9_15,global_stats,42,J,50%,264,132,True,0.37687633720550257,0.0009562677271062747,0.0009562677271062747,0.17825834941784974,0.9946641198003798,0.45694639421999456,131,1,1
lcro_9_15,global_stats,43,terminal,10%,264,26,True,0.038002176461024925,0.0036501858669977932,0.0036501858669977932,0.2871430420850258,0.9874474866808108,0.05197213217616081,25,1,1
lcro_9_15,global_stats,43,terminal,25%,264,66,True,0.04583163388694326,0.00031798479683470965,0.00031798479683470965,0.27931358465910744,0.998862843714487,0.061766382306814194,65,1,1
lcro_9_15,global_stats,43,terminal,50%,264,132,True,0.09759872152018502,0.0015196415285269466,0.0015196415285269466,0.2275464970258657,0.993365926809972,0.21026930212974548,131,1,1
lcro_9_15,global_stats,43,J,10%,264,26,True,0.3379895904585749,0.007274927015010368,0.007274927015010368,0.2171450961647774,0.9675834316745335,0.35527918267374237,25,1,1
lcro_9_15,global_stats,43,J,25%,264,66,True,0.3472815929820604,0.001992817342544806,0.001992817342544806,0.2078530936412919,0.9905034254267728,0.36196236377581953,65,1,1
