model,sample_id,seed_mean_case_MAE,MAE_percentage_points,cumulative_fraction
global_stats,b005_0290,0.017190035142493,1.7190035142492999,0.9625
global_stats,b005_0629,0.01882531437717496,1.882531437717496,0.96875
global_stats,b005_0002,0.0192779636529625,1.92779636529625,0.975
global_stats,b004_0168,0.021607086697562762,2.1607086697562763,0.98125
global_stats,b005_0465,0.02284067776359492,2.284067776359492,0.9875
global_stats,b005_0302,0.02395526962202098,2.3955269622020983,0.99375
global_stats,b005_0431,0.03465659789374614,3.4656597893746137,1.0
deepsets,b005_0773,0.00203648825160786,0.203648825160786,0.00625
deepsets,b005_0799,0.00204498474715182,0.204498474715182,0.0125
deepsets,b005_0786,0.0020529913120582,0.20529913120582002,0.01875
deepsets,b005_0757,0.0020934095148180004,0.20934095148180004,0.025
deepsets,b005_0792,0.00210665112636124,0.21066511263612397,0.03125
deepsets,b005_0736,0.00219359573770738,0.219359573770738,0.0375
deepsets,b005_0714,0.00220858523103052,0.220858523103052,0.04375
deepsets,b005_0758,0.00224471483074246,0.22447148307424603,0.05
deepsets,b005_0805,0.00228513303350224,0.228513303350224,0.05625
deepsets,b005_0733,0.0023053739891677,0.23053739891677,0.0625
deepsets,b005_0723,0.00231139366743988,0.231139366743988,0.06875
deepsets,b005_0774,0.00232685198549362,0.23268519854936198,0.075
deepsets,b005_0784,0.00236591823765484,0.23659182376548402,0.08125
deepsets,b005_0727,0.0024907598729993,0.24907598729993,0.0875
deepsets,b005_0737,0.00289287762563732,0.289287762563732,0.09375
deepsets,b005_0783,0.0030948605693753998,0.30948605693754,0.1
deepsets,b004_0012,0.00461592765860866,0.46159276586086606,0.10625
deepsets,b004_0084,0.00495640725874502,0.495640725874502,0.1125
deepsets,b005_0087,0.0050570000756959,0.50570000756959,0.11875
deepsets,b004_0356,0.0050929748865424,0.5092974886542401,0.125
deepsets,b005_0438,0.00514603569859362,0.514603569859362,0.13125
deepsets,b004_0192,0.005466140476895099,0.5466140476895099,0.1375
deepsets,b005_0196,0.00558892683904674,0.5588926839046741,0.14375
deepsets,b005_0092,0.005600295643337401,0.5600295643337401,0.15
deepsets,b005_0298,0.00563494062325986,0.563494062325986,0.15625
deepsets,b005_0378,0.005655317863479959,0.565531786347996,0.1625
deepsets,b005_0119,0.0056593947356841,0.56593947356841,0.16875
deepsets,b005_0345,0.00585445234032924,0.585445234032924,0.175
deepsets,b005_0047,0.00587722133906156,0.587722133906156,0.18125
deepsets,b005_0444,0.0058889897143254,0.58889897143254,0.1875
deepsets,b005_0040,0.00589388958254796,0.589388958254796,0.19375
deepsets,b005_0198,0.00589874064336052,0.5898740643360519,0.2
deepsets,b005_0467,0.00592788604439276,0.592788604439276,0.20625
deepsets,b004_0022,0.00593841630415832,0.593841630415832,0.2125
deepsets,b005_0107,0.00594518406957872,0.594518406957872,0.21875
deepsets,b005_0199,0.00606653475370558,0.606653475370558,0.225
deepsets,b005_0242,0.00613966292289432,0.613966292289432,0.23125
deepsets,b005_0172,0.00616471552457962,0.6164715524579619,0.2375
deepsets,b004_0313,0.006268658403490381,0.626865840349038,0.24375
deepsets,b005_0541,0.00647172948620354,0.647172948620354,0.25
deepsets,b004_0350,0.006538212103921801,0.6538212103921801,0.25625
deepsets,b004_0259,0.0065672191440081604,0.6567219144008161,0.2625
deepsets,b005_0062,0.00658477108742366,0.658477108742366,0.26875
deepsets,b005_0181,0.006613186539196519,0.6613186539196519,0.275
deepsets,b005_0434,0.0066209899108917395,0.6620989910891739,0.28125
deepsets,b005_0442,0.00665237329533838,0.665237329533838,0.2875
deepsets,b004_0008,0.00666854042010222,0.666854042010222,0.29375
deepsets,b004_0326,0.006684121196387199,0.6684121196387199,0.3
deepsets,b004_0106,0.00673057298924098,0.6730572989240979,0.30625
