example,sample_id,time_s,reference,prescribed_temperature_C,capacity_matched_deepsets_seed42,gnn_seed42,capacity_matched_deepsets_min,gnn_min,capacity_matched_deepsets_max,gnn_max
1,b005_0291,3180.0,0.17277348041534424,826.9154052734375,0.18421074748039246,0.18334168195724487,0.16334086656570435,0.1761251538991928,0.18421074748039246,0.18334168195724487
1,b005_0291,3240.0,0.16715382039546967,829.4017944335938,0.17713697254657745,0.17632552981376648,0.1560923308134079,0.16923215985298157,0.17713697254657745,0.17632552981376648
1,b005_0291,3300.0,0.16658467054367065,831.8426513671875,0.16991916298866272,0.16955280303955078,0.14873279631137848,0.16245807707309723,0.16991916298866272,0.16955280303955078
1,b005_0291,3360.0,0.16122475266456604,834.2396240234375,0.1627178192138672,0.16304880380630493,0.14169751107692719,0.15592287480831146,0.1627178192138672,0.16304880380630493
1,b005_0291,3420.0,0.15728440880775452,836.59423828125,0.15568207204341888,0.1567884236574173,0.13521572947502136,0.14959204196929932,0.15568207204341888,0.1567884236574173
1,b005_0291,3480.0,0.15424399077892303,838.9080810546875,0.14879760146141052,0.15065868198871613,0.1296955645084381,0.1434270143508911,0.14879760146141052,0.15065868198871613
1,b005_0291,3540.0,0.15178392827510834,841.182373046875,0.1420460343360901,0.14469043910503387,0.12471392750740051,0.13738635182380676,0.1420460343360901,0.14469043910503387
1,b005_0291,3600.0,0.14397704601287842,843.4185791015625,0.135416641831398,0.13895122706890106,0.1196148693561554,0.13142763078212738,0.13570544123649597,0.13895122706890106
2,b005_0622,0.0,1.0,20.0,0.9975302815437317,0.9978439807891846,0.9973903298377991,0.9967383742332458,0.9981001019477844,0.9983454942703247
2,b005_0622,60.0,1.0,54.77777862548828,0.9975334405899048,0.9978845715522766,0.9974396228790283,0.9969887137413025,0.9981480836868286,0.9984342455863953
2,b005_0622,120.0,1.0,89.55555725097656,0.99750816822052,0.9978786706924438,0.9974278807640076,0.9970494508743286,0.9981583952903748,0.9984639883041382
2,b005_0622,180.0,1.0,124.33333587646484,0.9974954128265381,0.9978634715080261,0.9974262118339539,0.9970597624778748,0.9981562495231628,0.9984519481658936
2,b005_0622,240.0,1.0,159.11111450195312,0.9974696636199951,0.9978468418121338,0.997420072555542,0.9970414042472839,0.9981309771537781,0.998382568359375
2,b005_0622,300.0,1.0,193.88888549804688,0.9974145889282227,0.997784435749054,0.9971961975097656,0.9969893097877502,0.9980652928352356,0.9982802867889404
2,b005_0622,360.0,1.0,228.6666717529297,0.9973028898239136,0.9976248145103455,0.9966992735862732,0.9968670010566711,0.9979009628295898,0.9981245398521423
2,b005_0622,420.0,1.0,263.4444580078125,0.9969800114631653,0.9972094893455505,0.9955869913101196,0.9964137673377991,0.9974650144577026,0.9977303147315979
2,b005_0622,480.0,1.0,298.22222900390625,0.995938777923584,0.9960882663726807,0.9928109049797058,0.9947750568389893,0.9963108897209167,0.996552586555481
2,b005_0622,540.0,0.9775210618972778,333.0,0.9919554591178894,0.9913950562477112,0.9846791625022888,0.9876569509506226,0.9927505254745483,0.9937467575073242
2,b005_0622,600.0,0.9550421237945557,367.77777099609375,0.9691587686538696,0.9627076387405396,0.9588925838470459,0.9557074308395386,0.9734366536140442,0.9785510301589966
2,b005_0622,660.0,0.846932053565979,402.5555725097656,0.852744996547699,0.8274245262145996,0.825360894203186,0.7959756851196289,0.8622356653213501,0.8570523262023926
2,b005_0622,720.0,0.7388219833374023,437.3333435058594,0.776080846786499,0.7615997195243835,0.7516423463821411,0.7219029664993286,0.776080846786499,0.7615997195243835
2,b005_0622,780.0,0.7388219833374023,472.1111145019531,0.7464896440505981,0.739322304725647,0.7341591119766235,0.7216395735740662,0.7565452456474304,0.7410210967063904
2,b005_0622,840.0,0.7388219833374023,506.888916015625,0.7450248599052429,0.7369009256362915,0.7355555891990662,0.722762942314148,0.7584496736526489,0.7390256524085999
2,b005_0622,900.0,0.7388219833374023,541.6666870117188,0.7423184514045715,0.7341963648796082,0.7339559197425842,0.7207845449447632,0.7525060772895813,0.7398815751075745
2,b005_0622,960.0,0.7388219833374023,576.4444580078125,0.72599196434021,0.7240663170814514,0.7253758907318115,0.7162072658538818,0.7389647364616394,0.7274706363677979
2,b005_0622,1020.0,0.7172898054122925,611.2222290039062,0.6966267824172974,0.6947245597839355,0.6966267824172974,0.6928651332855225,0.719893753528595,0.706126868724823
