example,sample_id,model,seed,time_s,prediction
1,b005_0291,capacity_matched_deepsets,44,1860.0,0.368513286113739
1,b005_0291,capacity_matched_deepsets,44,1920.0,0.35991859436035156
1,b005_0291,capacity_matched_deepsets,44,1980.0,0.3517810106277466
1,b005_0291,capacity_matched_deepsets,44,2040.0,0.34406405687332153
1,b005_0291,capacity_matched_deepsets,44,2100.0,0.3365112245082855
1,b005_0291,capacity_matched_deepsets,44,2160.0,0.3290666937828064
1,b005_0291,capacity_matched_deepsets,44,2220.0,0.31766587495803833
1,b005_0291,capacity_matched_deepsets,44,2280.0,0.3058208227157593
1,b005_0291,capacity_matched_deepsets,44,2340.0,0.29469797015190125
1,b005_0291,capacity_matched_deepsets,44,2400.0,0.2842109799385071
1,b005_0291,capacity_matched_deepsets,44,2460.0,0.2736210823059082
1,b005_0291,capacity_matched_deepsets,44,2520.0,0.2632116973400116
1,b005_0291,capacity_matched_deepsets,44,2580.0,0.25339263677597046
1,b005_0291,capacity_matched_deepsets,44,2640.0,0.2440681904554367
1,b005_0291,capacity_matched_deepsets,44,2700.0,0.23516634106636047
1,b005_0291,capacity_matched_deepsets,44,2760.0,0.22663171589374542
1,b005_0291,capacity_matched_deepsets,44,2820.0,0.2184203863143921
1,b005_0291,capacity_matched_deepsets,44,2880.0,0.21049685776233673
1,b005_0291,capacity_matched_deepsets,44,2940.0,0.20283208787441254
1,b005_0291,capacity_matched_deepsets,44,3000.0,0.19540196657180786
1,b005_0291,capacity_matched_deepsets,44,3060.0,0.18847006559371948
1,b005_0291,capacity_matched_deepsets,44,3120.0,0.1817876696586609
1,b005_0291,capacity_matched_deepsets,44,3180.0,0.17538288235664368
1,b005_0291,capacity_matched_deepsets,44,3240.0,0.16889269649982452
1,b005_0291,capacity_matched_deepsets,44,3300.0,0.1626671850681305
1,b005_0291,capacity_matched_deepsets,44,3360.0,0.1566058099269867
1,b005_0291,capacity_matched_deepsets,44,3420.0,0.1507895439863205
1,b005_0291,capacity_matched_deepsets,44,3480.0,0.14472518861293793
1,b005_0291,capacity_matched_deepsets,44,3540.0,0.13839216530323029
1,b005_0291,capacity_matched_deepsets,44,3600.0,0.1317691206932068
1,b005_0291,capacity_matched_deepsets,45,0.0,0.9977115392684937
