protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
iid997,gnn_mean,43,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.5,0.0,-5.0,9,0,0.0,0.0
iid997,gnn_mean,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.80851063829787,0.0,-4.680851063829787,25,0,0.0,0.0
iid997,gnn_mean,44,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.5,0.0,-4.166666666666667,10,0,0.0,0.0
iid997,gnn_mean,44,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,23.829787234042552,0.0,0.0,27,0,0.0,0.0
iid997,gnn_mean,45,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.5,0.0,-4.166666666666667,10,0,0.0,0.0
iid997,gnn_mean,45,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.382978723404257,0.0,-4.25531914893617,25,0,0.0,0.0
iid997,gnn_mean,46,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,13.75,0.0,-2.0833333333333335,14,0,0.0,0.0
iid997,gnn_mean,46,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,25.106382978723403,0.0,-9.787234042553191,17,0,0.0,0.0
lcro_9_15,fire_only,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-27.345132743362832,8,2,0.007575757575757576,0.008849557522123894
lcro_9_15,fire_only,42,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,97.5,60.0,97.5,190,4,0.015151515151515152,0.018518518518518517
lcro_9_15,fire_only,43,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,30.79646017699115,60.0,-29.734513274336283,2,1,0.003787878787878788,0.004424778761061947
lcro_9_15,fire_only,43,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,93.05555555555556,60.0,93.05555555555556,188,2,0.007575757575757576,0.009259259259259259
