protocol,model,seed,test_geometries,final_MAE,final_bias,time_average_MAE,time_average_bias
loco_perturbed_iso,gnn,46,111,0.004162008966411556,0.001380442096306397,0.004202672838605369,0.0015988350255756133
loco_perturbed_iso,gnn_zero_edge_features,42,111,0.004676975813266393,0.002946125393783724,0.0049387457349838295,0.002692198268677653
loco_perturbed_iso,gnn_zero_edge_features,43,111,0.004996917739107802,0.003903007118014602,0.0045683987276466395,0.0016459217826436002
loco_perturbed_iso,gnn_zero_edge_features,44,111,0.004399530321091145,0.0020769319690025607,0.004406497939615636,0.0021700259902187385
loco_perturbed_iso,gnn_zero_edge_features,45,111,0.004503075536843893,0.0008753710636147507,0.004850967367691494,0.0014867188750176134
loco_perturbed_iso,gnn_zero_edge_features,46,111,0.0040036799671413666,0.00034702837735682996,0.00444200386827414,0.0020717324196800097
loco_perturbed_iso,gnn_mean,42,111,0.006375326934429977,0.005768472379123843,0.005271143443021061,0.003632459034667807
loco_perturbed_iso,gnn_mean,43,111,0.004354252169529597,0.00207036669861089,0.004567894591549941,0.0023095363200091143
loco_perturbed_iso,gnn_mean,44,111,0.006383214649316427,0.005886544112686638,0.004756056807666737,0.003548052748693179
loco_perturbed_iso,gnn_mean,45,111,0.00464859037651672,0.003008096302683289,0.00462238008838829,0.002299473487545514
loco_perturbed_iso,gnn_mean,46,111,0.0047868476459034925,0.0037385004799108247,0.004381720105035082,0.0028035204798855817
loco_plateau,fire_only,42,103,0.010385016232584287,0.0011355934248676578,0.009835908677983536,0.002643095418919372
loco_plateau,fire_only,43,103,0.010131819860883129,0.004379139272767363,0.009378513260397903,0.0024582592438918555
loco_plateau,fire_only,44,103,0.010035638941578495,-0.00033516156514292784,0.00988552434803937,0.0020137031879095373
loco_plateau,fire_only,45,103,0.011323451796926341,-0.0008290626868171599,0.009341263191467058,0.0008536085001159872
loco_plateau,fire_only,46,103,0.011050902867635477,0.0018252491480806499,0.009697260055691003,0.002653832038002482
loco_plateau,global_stats,42,103,0.008806360559990106,0.005595597592227667,0.008053762430753137,0.0034445370417871884
loco_plateau,global_stats,43,103,0.008974738762650675,0.005199503822668085,0.007901012396566506,0.0027761919574637215
loco_plateau,global_stats,44,103,0.01086867768859979,0.009382236079828254,0.008744735028112502,0.005315857217571797
loco_plateau,global_stats,45,103,0.007706717361958281,0.001725407751295173,0.007709769427197654,0.0023199780208200257
loco_plateau,global_stats,46,103,0.010199160016711476,0.004727964461283776,0.008351313141943192,0.003401750393669966
loco_plateau,deepsets,42,103,0.009509820310236181,0.007848390387099924,0.006154470761610996,0.0027020869805239435
loco_plateau,deepsets,43,103,0.007258428694698417,0.005358393783274206,0.006212797973148262,0.002727984359132245
loco_plateau,deepsets,44,103,0.008249031560658251,0.005700856826982452,0.006132594147896024,0.0024340819196721373
loco_plateau,deepsets,45,103,0.009285313212900485,0.007515059892558357,0.006006685431299186,0.0019369002513008762
loco_plateau,deepsets,46,103,0.007321278844932908,0.000904718757543749,0.0055973840348458774,0.0018495478804455324
loco_plateau,capacity_matched_deepsets,42,103,0.007667125772359302,0.004248180417615233,0.0054146581193775896,0.0018896114985340958
loco_plateau,capacity_matched_deepsets,43,103,0.007047749802614879,0.004515176729380506,0.005644307134998521,0.0032408619005667087
loco_plateau,capacity_matched_deepsets,44,103,0.013332479877524006,0.012705224177357062,0.006207507131711668,0.00454175544504836
loco_plateau,capacity_matched_deepsets,45,103,0.007047831126063773,0.004651162429776007,0.00609350430758061,0.00402521524325158
loco_plateau,capacity_matched_deepsets,46,103,0.006889903845572935,0.004602881799479133,0.005208999587036071,0.003102815089126431
loco_plateau,gnn,42,103,0.006934367047930227,0.004376418237547273,0.005897963266596675,0.003526942557459364
loco_plateau,gnn,43,103,0.006542585392310781,0.004292965188477803,0.0052289331417747775,0.0022330731622163405
loco_plateau,gnn,44,103,0.007247703475425545,0.005274306892335994,0.004824634368040122,0.0016569389533673483
