protocol,model,endpoint,budget,N,k,actual_budget_fraction,independent_seed_count,U_defined_seeds,U_mean,U_sample_sd,U_min,U_max,regret_raw_defined_seeds,regret_raw_mean,regret_raw_sample_sd,regret_raw_min,regret_raw_max,regret_display_defined_seeds,regret_display_mean,regret_display_sample_sd,regret_display_min,regret_display_max,improvement_over_random_defined_seeds,improvement_over_random_mean,improvement_over_random_sample_sd,improvement_over_random_min,improvement_over_random_max,oracle_improvement_fraction_defined_seeds,oracle_improvement_fraction_mean,oracle_improvement_fraction_sample_sd,oracle_improvement_fraction_min,oracle_improvement_fraction_max
iid997,capacity_matched_deepsets,terminal,50%,160,80,0.5,5,5,0.05789806300075725,0.00013491246084154746,0.05775057087885216,0.05801035297336057,5,0.00014749212190508926,0.00013491246084154746,0.0,0.0002597820945084081,5,0.00014749212190508926,0.00013491246084154746,0.0,0.0002597820945084081,5,0.19258167351013983,0.00013491246084154423,0.19246938353753648,0.1927291656320449,5,0.999234718204578,0.0007000106102214009,0.9986520872766896,1.0
iid997,capacity_matched_deepsets,J,10%,160,16,0.1,5,5,0.334789923883048,0.000686549435269196,0.33383364116416486,0.33562184046713806,5,0.004219780674902684,0.000686549435269196,0.00326349795601949,0.005051697258992682,5,0.004219780674902684,0.000686549435269196,0.00326349795601949,0.005051697258992682,5,0.1756051551498119,0.000686549435269196,0.1747732385657219,0.1765614378686951,5,0.9765339514481133,0.0038178767150425052,0.9719076932471876,0.9818518052512994
iid997,capacity_matched_deepsets,J,25%,160,40,0.25,5,5,0.3466197293723332,0.00025701811709603694,0.3462835476443191,0.3469811563283535,5,0.0009280926479647955,0.00025701811709603694,0.0005919109199507,0.001289519603985101,5,0.0009280926479647955,0.00025701811709603694,0.0005919109199507,0.001289519603985101,5,0.16377534966052676,0.00025701811709603694,0.16341392270450644,0.16411153138854084,5,0.9943650683012049,0.0015604902574813014,0.992170657844723,0.9964062018883488
iid997,capacity_matched_deepsets,J,50%,160,80,0.5,5,5,0.35850109534390984,3.93127231510461e-05,0.35844055915661255,0.35854887530695123,5,0.0003285024279418014,3.9312723151046104e-05,0.0002679662406444572,0.0003762823909831403,5,0.0003285024279418014,3.9312723151046104e-05,0.0002679662406444572,0.0003762823909831403,5,0.15189398368895007,3.9312723151046104e-05,0.15184620372590873,0.15195451987624742,5,0.9978419585941494,0.0002582583175054654,0.9975280761694156,0.9982396408869667
iid997,gnn,terminal,10%,160,16,0.1,5,5,0.038455856090877205,0.0009233626701733216,0.03720649593742564,0.039222557621542364,5,0.0021843239665031433,0.0009233626701733216,0.0009349638130515814,0.0029510254971683025,5,0.0021843239665031433,0.0009233626701733216,0.0009349638130515814,0.0029510254971683025,5,0.21202388042001985,0.0009233626701733216,0.2112571788893547,0.2132732405734714,5,0.9898027996978038,0.004310584988179008,0.9862235645659799,0.9956352567553178
iid997,gnn,terminal,25%,160,40,0.25,5,5,0.04705670595634729,0.00033749112702972814,0.0466200114460662,0.04745799277443439,5,0.0010741836950182882,0.00033749112702972814,0.0006374891847372027,0.001475470513105391,5,0.0010741836950182882,0.00033749112702972814,0.0006374891847372027,0.001475470513105391,5,0.20342303055454977,0.0003374911270297262,0.20302174373646267,0.20385972506483085,5,0.9947471964400094,0.001650345840984688,0.9927848869799041,0.9968826510078557
iid997,gnn,terminal,50%,160,80,0.5,5,5,0.057902251568157224,0.00013872860793764767,0.05775057087885216,0.05801035297336057,5,0.00015168068930506706,0.00013872860793764767,0.0,0.0002597820945084081,5,0.00015168068930506706,0.00013872860793764767,0.0,0.0002597820945084081,5,0.19257748494273982,0.00013872860793764818,0.19246938353753648,0.1927291656320449,5,0.9992129852852958,0.0007198111789811368,0.9986520872766896,1.0
iid997,gnn,J,10%,160,16,0.1,5,5,0.3340535165163116,0.0012627307046042247,0.33287580489134905,0.3357401856911262,5,0.0034833733081662266,0.0012627307046042247,0.0023056616832036747,0.005170042482980808,5,0.0034833733081662266,0.0012627307046042247,0.0023056616832036747,0.005170042482980808,5,0.17634156251654837,0.0012627307046042247,0.17465489334173379,0.17751927414151092,5,0.9806290863267056,0.007022000029156541,0.9712495797133478,0.9871782983120253
iid997,gnn,J,25%,160,40,0.25,5,5,0.34667395635970755,0.0003579529639591704,0.3462707359681857,0.3472512114331766,5,0.0009823196353390795,0.00035795296395917033,0.0005790992438172715,0.0015595747088081868,5,0.0009823196353390795,0.00035795296395917033,0.0005790992438172715,0.0015595747088081868,5,0.16372112267315247,0.00035795296395917033,0.16314386759968336,0.16412434306467427,5,0.9940358281431715,0.002173318049350302,0.9905310132748344,0.9964839882172432
iid997,gnn,J,50%,160,80,0.5,5,5,0.35847941895083935,3.013874030982735e-05,0.3584508959252707,0.3585108271623661,5,0.0003068260348712104,3.013874030982735e-05,0.000278303009302594,0.0003382342463980059,5,0.0003068260348712104,3.013874030982735e-05,0.000278303009302594,0.0003382342463980059,5,0.15191566008202068,3.013874030982735e-05,0.15188425187049387,0.15194418310758928,5,0.997984358009791,0.00019799138142231044,0.99777802705089,0.9981717352251829
