protocol,contrast,baseline,candidate,endpoint,budget,N,k,seed,U_baseline_minus_candidate
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,42,-0.0011036896871195884
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,43,0.0012191873457696734
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,44,0.0010798995693524632
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,45,0.0005981632404857204
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,95,9,46,0.0023511573672294617
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,42,0.0009432242292424925
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,43,0.0004097386870695191
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,44,0.0004659447333087083
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,45,-0.0006477510475594028
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,95,23,46,0.00045762777976367935
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,42,0.00010567047494523113
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,43,0.0007842101473757579
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,44,0.0001073929065085466
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,45,0.0006514665611246848
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,95,47,46,0.00044737066677275755
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,42,-0.0012891553342342377
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,43,0.0012047140100212572
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,44,-0.00019098856244925688
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,45,0.0008527660914868784
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,95,9,46,0.0018769072920635788
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,42,0.0005838741035457673
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,43,-0.0003489933692027991
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,44,-8.39823546509022e-05
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,45,0.0001812004173795123
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,95,23,46,-0.0006776210865465093
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,42,0.0007339658374164726
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,43,-6.776589715318249e-06
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,44,9.347590822589291e-05
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,45,0.00035695310166861116
loco_astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,95,47,46,0.00039423502426838564
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,42,0.0009321309626102448
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,43,0.00012284103367063426
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,44,0.001220864554246269
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,45,-0.0008318829867574873
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,10%,95,9,46,0.00030052868856324244
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,42,3.288540503253168e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,43,-0.0004961581333823781
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,44,-0.00018485829881999954
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,45,3.978091737498468e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,25%,95,23,46,0.0
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,42,2.295492177312175e-06
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,43,-0.0004018690991908977
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,44,0.00012486618249974574
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,45,-3.869466959162404e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,terminal,50%,95,47,46,1.702513149444418e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,42,-0.00011112632712834136
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,43,0.0004106111134643542
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,44,-0.0005690384483724165
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,45,-0.0014273393071359552
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,10%,95,9,46,0.0006362899103098951
