sample_id,geometry_id,source_batch,fire_family,crack_count,legacy911,flat_response
b004_0112,55169dc8ab509ed728dcc7f019e72514bdf39e40522ea35bd611da45b2990993,batch_004,perturbed_iso,2,True,False
b004_0113,57d0e617f5b2708a27a04e9ba68f0d28647cbc8c1289427576ce1a16d9c48449,batch_004,perturbed_iso,3,True,False
b004_0115,f799b5290dd4072521a7449c1abf33ff526f22f67b776e873628d3cbca0ba783,batch_004,plateau,3,True,False
b004_0116,203a6e2687edc835a4adaee76e5ce101061982cebb15eafce755c663dbe73672,batch_004,linear,6,True,False
b004_0117,a983c651dd2129dd7267dc748ceba1abbff0f94ddcffb6fcf78d6e57d3e1346d,batch_004,perturbed_iso,1,True,False
b004_0118,779dd2f28924f53d1ad023caa666ec14ec69d7197e2cc90cdc19636596dad64f,batch_004,linear,7,True,False
b004_0120,975d228b6691b66cdd353057f1a95ee0cbf600138541b6ec7fc86ee62acb6b9d,batch_004,linear,4,True,False
b004_0121,30a102272a3396c9abbd3d36718e76aab52a043782d7d6c1532a31dff6e1428c,batch_004,decay,6,True,False
b004_0123,1c2c7a955603e654f5a96ab62eee60afcf2f5cf2a36ed0f3f82dce87d6fda388,batch_004,linear,2,True,False
b004_0124,c192803192b9cb1624934437b5b99d9c3fe95e7b59f4a8ecf4b0619c38e3de8a,batch_004,perturbed_iso,1,True,False
b004_0125,3b4681364d11834e774e87742f9bc8de29282bd78c26d567d119227aaa5372db,batch_004,perturbed_iso,5,True,False
b004_0126,61da8ab883e7cfa91098414b7b0b43fd2716036442ee03b0d82244019564a380,batch_004,decay,7,True,False
b004_0127,c806160cea073d2aa9d8ecd58d709a18761fd00a001297e2eab3b5057dcea59a,batch_004,astm_e119,4,True,False
b004_0128,16a17910130636cb2698e31b1ca741a5cf3ab23f175a1b4928af445a874876db,batch_004,perturbed_iso,4,True,False
b004_0129,9c47e2e985ea23bbb12abfa2c3feba646e83b955ee02dc2e74d4924ada76824b,batch_004,linear,6,True,False
b004_0130,2188740cfe38cf9d440c67431f559d83d2a1ce7ae59ca2bedcf02bb69f466e50,batch_004,plateau,8,True,False
b004_0131,c0dce9ffed674c5a6b108a039724a650718112d97c47232a6ddc82fb332770ca,batch_004,perturbed_iso,1,True,False
b004_0132,8fbe00c53ff6cd7d21ef130634e36ab7fcac26588c6be64e88ff998d7d77eac7,batch_004,perturbed_iso,2,True,False
b004_0133,6ed6a2818f0486b49027fc596a5c322d8a276fa546d574c5e995cfb0fcf14549,batch_004,astm_e119,8,True,False
b004_0135,df4844df46355cb404e788787fa047c44aef5ec9c854ca58ca0cb44139bd8279,batch_004,linear,3,True,False
b004_0136,04889ebdfb5784327f3b9088bf6df01afa628294490b202c173ef0b14838e962,batch_004,plateau,2,True,False
b004_0137,c4733fb8fa105843e32e18d841710f2f91d28b94a19ca8773241ac8c485929ea,batch_004,linear,1,True,False
b004_0139,86a7e367574fe16644118c4082db3ca827166a561ffb446152b2b570bc780961,batch_004,perturbed_iso,2,True,False
b004_0140,841ecf955209f5fe07343b79d019c382822b5b9c281b4fbfde6137fb44c90197,batch_004,linear,3,True,False
b004_0144,fd17fc2dbbb016666618d114dbb5c7795b209e39351f1b23bb05690162d412ee,batch_004,log_variant,5,True,False
b004_0145,8803de23caac2a31680d6e07bb0f92df1233575325a0b4ed4643d857753258cc,batch_004,perturbed_iso,6,True,False
b004_0147,1fa51a6e404fd88eb385d6766311d069515a32e28126ff01697c509152d5f502,batch_004,plateau,7,True,False
b004_0148,101170f672ceb19198d9407cdeda56220d64f856fdbd8a678e89dd06de8b038e,batch_004,decay,4,True,False
b004_0149,46eb0b12a5b418df0f87ec4dbd7ad15c2b05e831bd412faa4125998a87e300e4,batch_004,perturbed_iso,1,True,False
b004_0151,7c0161bf20efc63c2bac19f4f50066aa027a21a329815c40462e10c5be32cab7,batch_004,perturbed_iso,5,True,False
